,쿠카쿠,(주)쿠카쿠,2017-06-01,3년4개월,0,3 명
237,앤디스커피(ANDYS COFFEE),(주)카페에이전시,2018-09-21,2년1개월,1,9 명
238,카페디아떼(Caffe D'ate),(주)바바코리아,2016-07-26,4년3개월,1,1 명
239,풍년인카페,(주)강동오케익,2016-07-08,4년3개월,1,24 명
240,커피시장,커피시장상동점,2017-03-02,3년7개월,1,1 명
241,TOBBYS(토비즈커피),(주)지인터내셔날피엔케이,--,0년0개월,1,2 명
242,차뜨라므,㈜디저트플러스,2018-08-29,2년2개월,1,3 명
243,라센다 커피,(유)다빈,2018-04-01,2년6개월,1,19 명
244,레드머그커피,(주)놀부,2015-12-10,4년10개월,1,288 명
245,고바슨,(주)고바슨,2018-04-01,2년6개월,1,10 명
246,브이카페,(주)브이앤케이코퍼레이션,--,0년0개월,0,20 명
247,COFFEE YAS(커피야스),커피야스,--,0년0개월,0,1 명
248,아비아채,(주)만파식적,--,0년0개월,0,5 명
249,렛츠베이글 (LET’S BAGEL),렛츠베이글(LET’SBAGEL),2019-01-31,1년9개월,0,0 명
250,보피,(주)피쉐프코리아,--,0년0개월,0,70 명
251,CAFE 설렘주의보,설렘,2019-03-06,1년7개월,0,1 명
252,라고바움(Lago Baum),(주)라고바움,--,1년7개월,0,1 명
253,에이그레이트카페,(주)에이그레이트,--,0년0개월,0,2 명
254,디알해쉬커피,해쉬커피오거리점,--,0년0개월,0,1 명
255,몬스터커피,㈜몬스터,--,0년0개월,0,1 명
256,겟앤쇼카페(Get&Show cafe),(주)겟앤쇼,2013-01-01,7년9개월,0,1 명
257,DART9(다트나인),(주)브이비코퍼레이션,2017-09-01,3년1개월,0,0 명
258,미스터퀵다방,(주)코지에프앤비,2017-12-01,2년10개월,0,0 명
259,커피란워시데이,커피란워시데이,--,0년0개월,0,1 명
260,밀리언커피,밀리언커피,2015-06-15,5년4개월,0,1 명
261,제이제이로스터스,(주)쿱커피랩,--,0년0개월,0,14 명
262,STRONG COFFEE(스트롱커피),(주)채움푸드,2019-04-09,1년6개월,0,31 명
263,"카페안시,스튜디오안시","카페안시,스튜디오안시",--,0년0개월,0,1 명
264,OLOSI(오로시),(주)더블플레이,--,0년0개월,0,1 명
265,후드,후드,--,0년0개월,0,1 명
266,메종드기기,(주)메종드기기코리아,2018-12-19,1년10개월,0,8 명
267,스위티두,(주)더로열푸드앤베버리지,--,0년0개월,0,3 명
268,"화커피(花 커피,  WHA COFFEE)",(주)어뉴스토리,--,0년0개월,0,3 명
269,봉명동내커피,봉명동내커피,2019-11-12,0년11개월,0,0 명
270,호이안로스터리,에이원인터컴(주),--,0년0개월,0,2 명
271,커피기업,(주)티제이커피기업,--,0년0개월,0,2 명
272,히코코,(주)히코코,--,0년0개월,0,52 명
273,블랙스퀘어커피,(주)코지에프앤비,2017-08-01,3년2개월,0,0 명
274,루프트커피(LUFT COFFEE),(주)루프트,--,0년0개월,0,1 명
275,커피나뜨래,커피나뜨래,2015-09-01,5년1개월,0,0 명
276,텐퍼센트스페셜티커피,(주)무진,--,0년0개월,0,20 명
277,다트나인(DART9),(주)더조은브랜드,2019-05-01,1년5개월,0,6 명
278,COFFEE COOK (커피쿡),(주)빅트리컴퍼니,--,1년5개월,0,6 명
279,빵카페이시스,(주)카페빵선생,--,1년5개월,0,6 명
280,그린머그,그린머그코리아,--,1년5개월,0,6 명
281,플레어비,(주)플레어비,2019-05-01,1년5개월,0,0 명
282,데일리티,데일리티(주),--,1년5개월,0,0 명
283,별난커피,별난커피,2019-11-01,0년11개월,0,0 명
284,베로에스프레소 (VERO ESPRESSO),베로,--,0년11개월,0,0 명
285,주니아,㈜하나패밀리,--,0년11개월,0,0 명
286,홈스테드(Homestead),(주)제이준컴퍼니,2010-03-28,10년7개월,0,0 명
287,allcha(올차),(주)케이푸드아이엔지,--,0년0개월,0,13 명
288,미즈스타커피,미즈스타커피,2018-03-02,2년7개월,0,1 명
289,파리공방(Paris Atelier),(주)아이윈,2018-03-28,2년7개월,0,8 명
290,생활커피,(주)데일리비어,--,0년0개월,0,24 명
291,커피달램,로스터리미노(roasterymino),2018-11-01,1년11개월,0,1 명
292,날쌘카페,날쌘카페(주),2018-02-05,2년8개월,0,3 명
293,화이트오울,월드린,--,0년0개월,0,1 명
294,오슬로우(OHSLOW),(주)에스씨에스에프앤비,2019-03-15,1년7개월,0,2 명
295,쿠키프렌즈카페 (Cookie Friends Cafe),(주)진영글로벌,2018-08-30,2년2개월,0,10 명
296,비거커피,(주)코리아케이푸드,--,2년2개월,0,10 명
297,두이모,두이모,2019-10-01,1년0개월,0,0 명
298,킹커피(KING COFFEE),(주)브이케이인터네셔날,--,1년0개월,0,0 명
299,커피프린스,(주)커피프린스,2007-12-01,12년10개월,0,0 명
300,Cafe. OrganicDoctor(카페 오가닉 닥터),㈜씨엔피코퍼레이션,2018-05-15,2년5개월,0,10 명
301,버블엔젤(Bubble Angel),(주)버블엔젤,--,0년0개월,0,5 명
